"Source","Target","weight","width"
39,57,1,0.1
39,72,2,0.2
40,41,2,0.2
40,43,5,0.5
40,48,2,0.2
40,49,1,0.1
40,50,1,0.1
40,65,1,0.1
41,43,2,0.2
41,52,3,0.3
41,58,1,0.1
42,45,1,0.1
42,55,1,0.1
43,46,3,0.3
44,48,1,0.1
44,49,1,0.1
44,50,11,1.1
44,52,13,1.3
44,58,11,1.1
44,60,2,0.2
44,65,11,1.1
45,57,1,0.1
45,62,4,0.4
47,48,4,0.4
47,52,1,0.1
47,63,1,0.1
48,65,2,0.2
49,51,1,0.1
49,52,2,0.2
49,53,4,0.4
49,56,1,0.1
49,59,1,0.1
49,60,5,0.5
49,63,5,0.5
49,64,2,0.2
50,52,10,1
50,58,13,1.3
50,65,14,1.4
51,66,1,0.1
51,67,1,0.1
52,58,11,1.1
52,60,1,0.1
52,65,29,2.9
53,56,2,0.2
53,70,1,0.1
54,63,1,0.1
54,71,1,0.1
55,69,1,0.1
57,62,1,0.1
58,61,1,0.1
58,65,12,1.2
59,60,4,0.4
60,63,4,0.4
60,64,1,0.1
60,70,1,0.1
61,62,1,0.1
61,66,1,0.1
62,66,3,0.3
63,64,6,0.6
63,67,1,0.1
63,70,3,0.3
64,68,1,0.1
65,67,2,0.2
66,71,1,0.1
67,72,1,0.1
68,71,1,0.1
68,72,1,0.1
